N,Pot
2,0.5
3,1.732050808
4,3.674234614
5,6.474691495
6,9.985281374
7,14.45297741
8,19.67528786
9,25.75998653
10,32.71694946
11,40.59645051
12,49.16525306
13,58.85323061
14,69.3063633
15,80.67024411
16,92.9116553
17,106.0504048
18,120.0844674
19,135.0894676
20,150.8815683
21,167.6416224
22,185.2875361
23,203.9301907
24,223.3470741
25,243.8127603
26,265.1333263
27,287.302615
28,310.4915424
29,334.6344399
30,359.6039459
31,385.5308381
32,412.2612747
33,440.2040574
34,468.9048533
35,498.5698725
36,529.1224084
37,560.6188877
38,593.0385036
39,626.389009
40,660.6752788
41,695.9167443
42,732.0781075
43,769.1908465
44,807.1742631
45,846.1884011
46,886.1671136
47,927.0592707
48,968.7134553
49,1011.557183
50,1055.182315
51,1099.81929
52,1145.418964
53,1191.92229
54,1239.361475
55,1287.772721
56,1337.094945
57,1387.383229
58,1438.618251
59,1490.773335
60,1543.830401
61,1597.94183
62,1652.90941
63,1708.879682
64,1765.802578
65,1823.66796
66,1882.441525
67,1942.1227
68,2002.874702
69,2064.533483
70,2127.100902
71,2190.649906
72,2255.001191
73,2320.633884
74,2387.072982
75,2454.369689
76,2522.674872
77,2591.850152
78,2662.046475
79,2733.248357
80,2805.355876
81,2878.52283
82,2952.569675
83,3027.528489
84,3103.465124
85,3180.361443
86,3258.211606
87,3337.00075
88,3416.720197
89,3497.439019
90,3579.091223
91,3661.713699
92,3745.291636
93,3829.844338
94,3915.30927
95,4001.771676
96,4089.15401
97,4177.5336
98,4266.822464
99,4357.139163
100,4448.350634
101,4540.590052
102,4633.736566
103,4727.836617
104,4822.876523
105,4919.000638
106,5015.984596
107,5113.953548
108,5212.813508
109,5312.73508
110,5413.549294
111,5515.293215
112,5618.044882
113,5721.824978
114,5826.521572
115,5932.181286
116,6038.815594
117,6146.342447
118,6254.877028
119,6364.347317
120,6474.756325
121,6586.12195
122,6698.374499
123,6811.827228
124,6926.169974
125,7041.473264
126,7157.669225
127,7274.819505
128,7393.007443
129,7512.107319
130,7632.167379
131,7753.205167
132,7875.045343
133,7998.179213
134,8122.089721
135,8246.909487
136,8372.743303
137,8499.534495
138,8627.40639
139,8756.227056
140,8885.980609
141,9016.615349
142,9148.27158
143,9280.839851
144,9414.371794
145,9548.928837
146,9684.381826
147,9820.932378
148,9958.406004
149,10096.85991
150,10236.19644
151,10376.57147
152,10517.86759
153,10660.08275
154,10803.37242
155,10947.57469
156,11092.79831
157,11238.90304
158,11385.99019
159,11534.02396
160,11683.05481
161,11833.08474
162,11984.05034
163,12136.01305
164,12288.93011
165,12442.80445
166,12597.64907
167,12753.46943
168,12910.21267
169,13068.00645
170,13226.68108
171,13386.35593
172,13547.01811
173,13708.63524
174,13871.18709
175,14034.78131
176,14199.35478
177,14364.83755
178,14531.30955
179,14698.75459
180,14867.09993
181,15036.46724
182,15206.73061
183,15378.16657
184,15550.42145
185,15723.72007
186,15897.89744
187,16072.97519
188,16249.22268
189,16426.37194
190,16604.42834
191,16783.45222
192,16963.33839
193,17144.56474
194,17326.61614
195,17509.4893
196,17693.46055
197,17878.34016
198,18064.26218
199,18251.0825
200,18438.84272
201,18627.59123
202,18817.20472
203,19007.9812
204,19199.54078
212,20768.05309
214,21169.91041
216,21575.59638
217,21779.85608
232,24961.25232
255,30264.42425
256,30506.68752
257,30749.94142
272,34515.19329
282,37147.29442
292,39877.00801
306,43862.56978
312,45629.3138
315,46525.82564
317,47128.31034
318,47431.05602
334,52407.72813
348,56967.47245
357,59999.92294
358,60341.83092
372,65230.02712
382,68839.42684
390,71797.03534
392,72546.25837
400,75582.44851
402,76351.19243
432,88353.70968
448,95115.54699
460,100351.7631
468,103920.8717
470,104822.8863
